repository,topic,review_status
Sev7een/ds-api-usage,dsh-plugin,unreviewed
ShawnSiao/dsh-agent-eval,dsh-plugin,unreviewed
ShawnSiao/dsh-credentials-keychain,dsh-plugin,unreviewed
SiYue-ZO/dsh-translator,dsh-plugin,unreviewed
Small-tailqwq/dsh-deep-whale,dsh-plugin,unreviewed
Small-tailqwq/dsh-deepcel,dsh-plugin,unreviewed
THU-MAIC/dsh-openmaic,dsh-plugin,unreviewed
TecFancy/dsh-deeptutor,dsh-plugin,unreviewed
Thhoho/reSanity,dsh-plugin,unreviewed
Tieboyh/dsh-session-search,dsh-plugin,unreviewed
Totoro-qaq/Cobsidian,dsh-plugin,unreviewed
TwotwoPiggy/dsh-balance,dsh-plugin,unreviewed
Void0312Aurora/dsh-desktop-electron,dsh-plugin,unreviewed
WardLu/shadow-vision,dsh-plugin,unreviewed
XYZ1024-alt/dsh-side-panel,dsh-plugin,unreviewed
Xilin3/dsh-prompt-persona,dsh-plugin,unreviewed
YYTbit/dsh-plugin-agent-dashboard,dsh-plugin,unreviewed
YYTbit/dsh-plugin-auto-docs,dsh-plugin,unreviewed
YYTbit/dsh-plugin-claude-bridge,dsh-plugin,unreviewed
YYTbit/dsh-plugin-code-review,dsh-plugin,unreviewed
YYTbit/dsh-plugin-codex-bridge,dsh-plugin,unreviewed
YYTbit/dsh-plugin-context-compressor,dsh-plugin,unreviewed
YYTbit/dsh-plugin-meta-memory,dsh-plugin,unreviewed
YYTbit/dsh-plugin-opencode-bridge,dsh-plugin,unreviewed
YYTbit/dsh-plugin-rag,dsh-plugin,unreviewed
YYTbit/dsh-plugin-vision-toolkit,dsh-plugin,unreviewed
YunTaiHua/illusion-agent,dsh-plugin,unreviewed
ZSeven-W/dsh-openpencil,dsh-plugin,unreviewed
ZeroHackz/GUI-SAM2Matting,dsh-plugin,unreviewed
ZeroHackz/OpenFlowFrames,dsh-plugin,unreviewed
Zhenyu98/dsh-context-doctor,dsh-plugin,unreviewed
a179-sanae/dsh-code-check,dsh-plugin,unreviewed
alaliqing/claude-paper,dsh-plugin,unreviewed
alingalingling/ui-status-label,dsh-plugin,unreviewed
anweat/dsh-web-search-pro,dsh-plugin,unreviewed
awesome-dsh-plugin/awesome-dsh-plugin,dsh-plugin,unreviewed
ben7am1n/dsh-browser,dsh-plugin,unreviewed
ben7am1n/dsh-claude-marketplace,dsh-plugin,unreviewed
ben7am1n/dsh-deepseek-usage,dsh-plugin,unreviewed
ben7am1n/dsh-lens-lite,dsh-plugin,unreviewed
ben7am1n/dsh-mcp-proxy,dsh-plugin,unreviewed
ben7am1n/dsh-telegram,dsh-plugin,unreviewed
ben7am1n/dsh-webhook-bridge,dsh-plugin,unreviewed
bill9109/dsh-101,dsh-plugin,unreviewed
bill9109/dsh-conversation-share,dsh-plugin,unreviewed
bill9109/dsh-drag-and-drop,dsh-plugin,unreviewed
bill9109/dsh-web-ui-notify,dsh-plugin,unreviewed
bill9109/dsh-webbridge,dsh-plugin,unreviewed
bitterSmilezzz/dsh-mac-desktop,dsh-plugin,unreviewed
bitterSmilezzz/dsh-skill-manager,dsh-plugin,unreviewed
bobleer/dsh-acp-for-bitfun,dsh-plugin,unreviewed
bradeGithub/DSH-Plugins-Marketplace,dsh-plugin,unreviewed
bruc3van/awesome-dsh-plugin,dsh-plugin,unreviewed
bruc3van/dsh-desktop,dsh-plugin,unreviewed
btspoony/dsh-advisor,dsh-plugin,unreviewed
btspoony/mstar-harness,dsh-plugin,unreviewed
ccch1mneyyy/dsh-cc-tui,dsh-plugin,unreviewed
ccch1mneyyy/dsh-working-activity,dsh-plugin,unreviewed
ccq1/dsh-side-panel,dsh-plugin,unreviewed
chen-001/dsh-chat-width,dsh-plugin,unreviewed
chen-001/dsh-grok-tui,dsh-plugin,unreviewed
cking000bigdemon/dsh-toolbelt,dsh-plugin,unreviewed
codeAnqiang-ma/dsh-superpowers,dsh-plugin,unreviewed
cofy-x/axern,dsh-plugin,unreviewed
coppynight/dsh-doctor,dsh-plugin,unreviewed
crayonlu/dsh-web-search-firecrawl,dsh-plugin,unreviewed
csyangwen/dsh-memory-evolve,dsh-plugin,unreviewed
cute-baobao/dsh-usage-meter,dsh-plugin,unreviewed
dbydd/dsh-onlyne,dsh-plugin,unreviewed
deepseek-ai/deepseek-harness,dsh-plugin,unreviewed
detpecca/DSH-Wiki,dsh-plugin,unreviewed
detpecca/dsh-llm-wiki,dsh-plugin,unreviewed
dingyi222666/dsh-focus-chat,dsh-plugin,unreviewed
dingyi222666/dsh-session-notification,dsh-plugin,unreviewed
echo-escape/dsh-workbench,dsh-plugin,unreviewed
emredeveloper/deepseek-harness-huggingface,dsh-plugin,unreviewed
fakechris/dsh-harness-ops,dsh-plugin,unreviewed
fakechris/dsh-track,dsh-plugin,unreviewed
fengzhiyushui/dsh-desktop-window,dsh-plugin,unreviewed
forrestchang/dsh-multica-runtime,dsh-plugin,unreviewed
fuhefei/dsh-sentinel,dsh-plugin,unreviewed
gordonlu/dsh-context-lens,dsh-plugin,unreviewed
gxpppp/dsh-search-mcp,dsh-plugin,unreviewed
hanelalo/browser-bridge,dsh-plugin,unreviewed
happyren/dsh-agent-messaging,dsh-plugin,unreviewed
hashdiana/dsh-token-usage,dsh-plugin,unreviewed
havingautism/dsh-deepresearch,dsh-plugin,unreviewed
havingautism/dsh-notebooks,dsh-plugin,unreviewed
havingautism/dsh-ultra-ui,dsh-plugin,unreviewed
haytham818/dsh-notify,dsh-plugin,unreviewed
hellodigua/dsh-emoji,dsh-plugin,unreviewed
hellodigua/dsh-share,dsh-plugin,unreviewed
hikariming/dshfind,dsh-plugin,unreviewed
hisaniwo/dsh-ergonomics,dsh-plugin,unreviewed
huiliyi37/dsh-tianshu-tui,dsh-plugin,unreviewed
huiliyi37/dsh-tianshu-tui-placeholder,dsh-plugin,unreviewed
hust-open-atom-club/oh-dsh-desktop,dsh-plugin,unreviewed
hyqhyq3/dsh-mcp-manager,dsh-plugin,unreviewed
icetomoyo/dsh_workflow,dsh-plugin,unreviewed
icodesign/orbis,dsh-plugin,unreviewed
ilharp/dsh-tool-approval,dsh-plugin,unreviewed
imetn/dsh-lark-bridge,dsh-plugin,unreviewed
jark006/RemoteOps,dsh-plugin,unreviewed
jiesou/dsh-stream-rules,dsh-plugin,unreviewed
joyfoxai/dsh-eco-router,dsh-plugin,unreviewed
jumpserver-east/jumpserver-dsh,dsh-plugin,unreviewed
keleus/deepseek-pet,dsh-plugin,unreviewed
lehhair/dsh-mobile,dsh-plugin,unreviewed
lhh010/dsh-bash-encoding,dsh-plugin,unreviewed
lhh010/dsh-input-history,dsh-plugin,unreviewed
lhh010/dsh-minigames,dsh-plugin,unreviewed
lhh010/dsh-paste-input,dsh-plugin,unreviewed
lhh010/dsh-ui-progress,dsh-plugin,unreviewed
lhh010/dsh-ui-whale,dsh-plugin,unreviewed
lin-cheng-lab/dsh-deepseek-balance,dsh-plugin,unreviewed
litestartup-com/litestartup-skills,dsh-plugin,unreviewed
liustack/modlens,dsh-plugin,unreviewed
longyu065/dsh-desktop,dsh-plugin,unreviewed
longyu065/dsh-session-index,dsh-plugin,unreviewed
lujoai/Lujo-MCP,dsh-plugin,unreviewed
lunw/shopline-ai-toolkit-dsh,dsh-plugin,unreviewed
lzszq/dsh-scholar,dsh-plugin,unreviewed
moduqishi/dsh-open-in-finder,dsh-plugin,unreviewed
moduqishi/dsh-opencode-usage,dsh-plugin,unreviewed
morlay/session-persistence-rdb,dsh-plugin,unreviewed
moxisuki/dsh-lan,dsh-plugin,unreviewed
nutshellai-tech/mobius,dsh-plugin,unreviewed
omdsh-dev/7d7d,dsh-plugin,unreviewed
omdsh-dev/DSH-better-sidebar,dsh-plugin,unreviewed
omdsh-dev/Qwen-MM-Plugins,dsh-plugin,unreviewed
omdsh-dev/dsh-annotation,dsh-plugin,unreviewed
omdsh-dev/dsh-at-file,dsh-plugin,unreviewed
omdsh-dev/dsh-auto-chess,dsh-plugin,unreviewed
omdsh-dev/dsh-custom-tool,dsh-plugin,unreviewed
omdsh-dev/dsh-daily-fortune,dsh-plugin,unreviewed
omdsh-dev/dsh-data-agent,dsh-plugin,unreviewed
omdsh-dev/dsh-deep-research,dsh-plugin,unreviewed
omdsh-dev/dsh-ernie-image,dsh-plugin,unreviewed
omdsh-dev/dsh-fun-ticker,dsh-plugin,unreviewed
omdsh-dev/dsh-fun-weather,dsh-plugin,unreviewed
omdsh-dev/dsh-genui,dsh-plugin,unreviewed
omdsh-dev/dsh-gomoku,dsh-plugin,unreviewed
omdsh-dev/dsh-hub-workshop,dsh-plugin,unreviewed
omdsh-dev/dsh-inspect,dsh-plugin,unreviewed
omdsh-dev/dsh-kb-sieve,dsh-plugin,unreviewed
omdsh-dev/dsh-longbridge,dsh-plugin,unreviewed
omdsh-dev/dsh-mnemon,dsh-plugin,unreviewed
omdsh-dev/dsh-mygo,dsh-plugin,unreviewed
omdsh-dev/dsh-notification,dsh-plugin,unreviewed
omdsh-dev/dsh-open-in-vscode,dsh-plugin,unreviewed
omdsh-dev/dsh-pet-corner,dsh-plugin,unreviewed
omdsh-dev/dsh-plugin-check,dsh-plugin,unreviewed
omdsh-dev/dsh-plugin-dev,dsh-plugin,unreviewed
omdsh-dev/dsh-plugin-skills,dsh-plugin,unreviewed
omdsh-dev/dsh-revive,dsh-plugin,unreviewed
omdsh-dev/dsh-scout,dsh-plugin,unreviewed
omdsh-dev/dsh-security-audit,dsh-plugin,unreviewed
omdsh-dev/dsh-session-health,dsh-plugin,unreviewed
omdsh-dev/dsh-tool-calculator,dsh-plugin,unreviewed
omdsh-dev/dsh-tool-diff,dsh-plugin,unreviewed
omdsh-dev/dsh-tool-encoding,dsh-plugin,unreviewed
omdsh-dev/dsh-tool-json,dsh-plugin,unreviewed
omdsh-dev/dsh-tool-markdown,dsh-plugin,unreviewed
omdsh-dev/dsh-tool-regex,dsh-plugin,unreviewed
omdsh-dev/dsh-tool-schema,dsh-plugin,unreviewed
omdsh-dev/dsh-tool-stat,dsh-plugin,unreviewed
omdsh-dev/dsh-tool-time,dsh-plugin,unreviewed
omdsh-dev/dsh-toolkit,dsh-plugin,unreviewed
omdsh-dev/dsh-voice-funasr,dsh-plugin,unreviewed
omdsh-dev/ex-setting,dsh-plugin,unreviewed
omdsh-dev/fabric,dsh-plugin,unreviewed
omdsh-dev/omdsh,dsh-plugin,unreviewed
omdsh-dev/omdsh-runtime,dsh-plugin,unreviewed
omdsh-dev/plugin-template,dsh-plugin,unreviewed
omdsh-dev/sandbox-micro,dsh-plugin,unreviewed
omdsh-dev/sandbox-nono,dsh-plugin,unreviewed
omdsh-dev/session-teleport,dsh-plugin,unreviewed
omdsh-dev/toybox,dsh-plugin,unreviewed
omdsh-dev/web-components,dsh-plugin,unreviewed
openguardrails/dsh-tui,dsh-plugin,unreviewed
openguardrails/openguardrails,dsh-plugin,unreviewed
openma-ai/deepseek-harness-typescript-sdk,dsh-plugin,unreviewed
openma-ai/open-managed-agents,dsh-plugin,unreviewed
opensetk/dsh-xiaohei,dsh-plugin,unreviewed
orriduck/dsh-tui,dsh-plugin,unreviewed
paean-ai/8x-skills,dsh-plugin,unreviewed
paean-ai/deeptide,dsh-plugin,unreviewed
pandashere/dsh-codex-bridge,dsh-plugin,unreviewed
pandashere/dsh-kimi-bridge,dsh-plugin,unreviewed
pandashere/dsh-self-control-guard,dsh-plugin,unreviewed
pinkllo/dsh-reasoning-translator,dsh-plugin,unreviewed
pulseaiclub/phi,dsh-plugin,unreviewed
qyw233/dsh-deeplink,dsh-plugin,unreviewed
rainforest888/dsh-plugins-raincode,dsh-plugin,unreviewed
randerous/dsh-turn-budget,dsh-plugin,unreviewed
randerous/dsh-turn-meta,dsh-plugin,unreviewed
renat3u/dsh-paseo,dsh-plugin,unreviewed
renat3u/dsh-web-archive,dsh-plugin,unreviewed
renat3u/tonghuashun-webui,dsh-plugin,unreviewed
rsagacom/dsh-ajw,dsh-plugin,unreviewed
runzhliu/deepseek-harness-docker,dsh-plugin,unreviewed
shi275773124/falsify-dsh,dsh-plugin,unreviewed
shinelon/eyes-for-deepseek,dsh-plugin,unreviewed
sjscy05/deepseek-harness-vision-plugin,dsh-plugin,unreviewed
sjscy05/matlab-modelsim-vivado-plugin,dsh-plugin,unreviewed
spike-faye-lei/spike-faye-lei-dsh-skills,dsh-plugin,unreviewed
stushansusu/dsh-miku-skin,dsh-plugin,unreviewed
syy-shark/dsh-music-plugin,dsh-plugin,unreviewed
taxueseek/argo,dsh-plugin,unreviewed
titanwings/colleague-skill,dsh-plugin,unreviewed
titanwings/dsh-automation,dsh-plugin,unreviewed
titanwings/dsh-better-browser,dsh-plugin,unreviewed
titanwings/dsh-plannotator,dsh-plugin,unreviewed
titanwings/ex-skill,dsh-plugin,unreviewed
turtle1999/turtle-ui,dsh-plugin,unreviewed
unknowbug/RE-Framework,dsh-plugin,unreviewed
unknowbug/anchorlaw,dsh-plugin,unreviewed
vexpaer/ContextGate,dsh-plugin,unreviewed
vibeinging/dsh-agent-budget,dsh-plugin,unreviewed
vibeinging/dsh-tool-search,dsh-plugin,unreviewed
vibeinging/dsh-trace,dsh-plugin,unreviewed
vibeinging/dsh-turn-navigator,dsh-plugin,unreviewed
vibeinging/dsh-work,dsh-plugin,unreviewed
vlln/dsh-loop,dsh-plugin,unreviewed
vlln/dsh-navbar,dsh-plugin,unreviewed
vlln/dsh-task-status,dsh-plugin,unreviewed
vlln/plugin-registry,dsh-plugin,unreviewed
vlln/whale-girl,dsh-plugin,unreviewed
wangshunnn/oh-my-dsh,dsh-plugin,unreviewed
wangyang10/image-vision,dsh-plugin,unreviewed
whiteguo233/OpenBiliClaw,dsh-plugin,unreviewed
whiteguo233/dsh-openbiliclaw,dsh-plugin,unreviewed
whitelonng/dshcode,dsh-plugin,unreviewed
whyihaveyou/dsh-suite,dsh-plugin,unreviewed
william-jin-cmu/dsh-artifact,dsh-plugin,unreviewed
william-jin-cmu/dsh-companion,dsh-plugin,unreviewed
william-jin-cmu/dsh-stickers,dsh-plugin,unreviewed
william-jin-cmu/dsh-vision,dsh-plugin,unreviewed
xiaohai-78/Top,dsh-plugin,unreviewed
yangzhe1003/dsh-web-search-firecrawl,dsh-plugin,unreviewed
yejiming/MuseAI,dsh-plugin,unreviewed
yjh051108/dsh-super-injector,dsh-plugin,unreviewed
yjm110517/visual-to-editable-ppt-skill,dsh-plugin,unreviewed
yoke233/dsh-openai-codex-auth,dsh-plugin,unreviewed
yoke233/dsh-pixel-whale,dsh-plugin,unreviewed
yoke233/dsh-tool-monitor,dsh-plugin,unreviewed
yuezengwu/dsh-explain,dsh-plugin,unreviewed
yumimanji/dsh-ui-spec,dsh-plugin,unreviewed
yuukiLike/zeromd,dsh-plugin,unreviewed
yyh-001/dsh-companion,dsh-plugin,unreviewed
yyh-001/dsh-expression,dsh-plugin,unreviewed
zcx369658780/governed-workflow-for-dsh,dsh-plugin,unreviewed
zevorn/dsh-humanize,dsh-plugin,unreviewed
zhaoscsc/dsh-wikilink,dsh-plugin,unreviewed
zhu1090093659/dsh-web-ui,dsh-plugin,unreviewed
zimixvx/dsh-archive-manager,dsh-plugin,unreviewed
zlh12331/deepseek-harness-superagent,dsh-plugin,unreviewed
zzh-newlearner/dsh-postmortem,dsh-plugin,unreviewed
